sites,richness,sd
1,764.8353333,486.3511016
2,1462.719667,584.1646728
3,1993.765333,593.8251327
4,2499.302667,581.4207765
5,2892.466667,549.7922691
6,3298.706333,560.2096449
7,3575.742333,578.6886644
8,3910.221,532.370732
9,4160.385,508.9241644
10,4376.861,502.238155
11,4609.324333,498.4754672
12,4843.74,474.7128235
13,5038.171667,453.2224927
14,5176.557667,440.408991
15,5319.7,439.3278268
16,5450.002667,407.1144075
17,5583.999667,418.200944
18,5719.617333,388.8353779
19,5811.315,386.9390728
20,5910.357,376.4858002
21,6015.241333,361.4726466
22,6102.286333,344.5465977
23,6197.369667,298.9261944
24,6279.045667,293.4925993
25,6347.123333,282.4199176
26,6426.885333,271.9071478
27,6496.674667,269.4955685
28,6559.28,264.5251061
29,6627.8,250.4267351
30,6677.846,248.1275963
31,6724.684667,234.5281739
32,6766.422333,225.7522143
33,6815.001333,203.4263358
34,6870.255333,192.0302255
35,6906.134667,185.2667406
36,6939.010667,168.6159645
37,6970.398,158.8290929
38,7006.663,155.4266389
39,7039.164333,138.8207072
40,7071.671333,127.1976561
41,7099.536333,119.4932229
42,7126.998667,105.4795887
43,7153.896,104.1546696
44,7176.933667,100.4852239
45,7195.677333,101.9021586
46,7213.408667,99.37951434
47,7230.943333,95.81585658
48,7250.911667,91.17393293
49,7270.560333,85.41124241
50,7290.366333,77.89515263
51,7305.401,74.81761024
52,7322.981333,69.61187934
53,7339.619,65.30203457
54,7357.231333,56.64649192
55,7366.836,57.95235372
56,7378.258333,59.43440402
57,7392.422,55.70415625
58,7401.217,56.65468847
59,7412.361667,55.99724488
60,7423.056333,54.0167567
61,7431.691,53.21220881
62,7441.225,52.06589009
63,7450.438,50.38303342
64,7460.530333,50.77905975
65,7470.239333,48.99625043
66,7481.318667,42.67556865
67,7488.926,42.40336517
68,7494.989667,41.65274426
69,7501.527333,40.31361718
70,7508.426667,38.29428285
71,7515.374,37.62067708
72,7521.862,36.07406554
73,7529.361667,33.96706643
74,7536.701333,33.23452761
75,7541.191,32.81768598
76,7547.129333,32.02960201
77,7551.679,32.03077282
78,7558.710667,29.66637797
79,7563.690667,29.92199139
80,7569.411,27.31595204
81,7572.456333,26.93882111
82,7577.389667,24.52181909
83,7583.246333,23.10936663
84,7588.248333,21.83865917
85,7592.548667,21.49049612
86,7595.887667,21.1882168
87,7600.608,18.77548436
88,7604.205667,18.63182478
89,7608.709333,16.8231623
90,7612.832333,16.05786286
91,7615.982,15.96630249
92,7619.360333,14.73846955
93,7623.955667,12.77254531
94,7627.202667,10.62871054
95,7629.474,9.995446303
96,7634,0
